GPSDateStamp,2020:03:16
GPSTimeStamp,"(8.0, 58.0, 25.0)"
ResolutionUnit,2
ExifOffset,138
Make,OPPO
Model,A37fw
YCbCrPositioning,1
XResolution,72.0
YResolution,72.0
ExifVersion,b'0220'
ComponentsConfiguration,b'\x01\x02\x03\x00'
ShutterSpeedValue,10.304
DateTimeOriginal,2020:03:16 14:28:26
DateTimeDigitized,2002:12:08 12:00:00
ApertureValue,2.27
FlashPixVersion,b'0100'
ColorSpace,1
ExifImageWidth,2448
Flash,16
FocalLength,2.93
ExifImageHeight,3264
ExifInteroperabilityOffset,474
GainControl,1
ExposureIndex,138.0
ExposureTime,0.0007905138339920949
FNumber,2.2
ISOSpeedRatings,100
MakerNote,b'\x00<\x00\x00\x136\x00\x00\x00\x06\x00\x00\x01('
